CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
HUMBERTO 1°,"1593",1593 HUMBERTO 1º,-58.38858,-34.621336,"1",CONSTITUCION,"53",I,"126",I,,,,,,,,
PRES. TTE. GRAL. JUAN DOMINGO PERON,"121","PERON, TTE. GRAL. JUAN DOMINGO 121",-58.369514,-34.605221,"1",SAN NICOLAS,"159",I,,,,,,,,,,
BAIGORRIA,"4691",BAIGORRIA 4691,-58.509319,-34.614461,"11",VILLA DEVOTO,"47",I,"109",V,,,,,,,,
CHICLANA AV.,"3871","CHICLANA, AV. 3871",-58.41806,-34.638844,"5",BOEDO,"23",V,,,,,,,,,,
JORGE NEWBERY AV.,"3006",NEWBERY JORGE 3006,-58.44579,-34.577353,"13",COLEGIALES,"39",V,,,,,,,,,,
JORGE NEWBERY AV.,"3206",NEWBERY JORGE 3206,-58.446919,-34.579415,"13",COLEGIALES,"39",V,,,,,,,,,,
RIVADAVIA AV.,"10847","rivadavia,av 10847",-58.516762,-34.639061,"9",LINIERS,"185",I,"96",I,,,,,,,,
SALTA,"2030",SALTA 2030,-58.382454,-34.631105,"1",CONSTITUCION,"134",I,"90",I,,,,,,,,
NEUQUEN,"2160",Neuquen 2160,-58.463421,-34.617468,"7",FLORES,"106",I,"124",V,,,,,,,,
NEUQUEN,"2512",Neuquen 2512,-58.468673,-34.619606,"7",FLORES,"106",I,"124",V,,,,,,,,
NEUQUEN,"2706",Neuquen 2706,-58.471277,-34.620413,"7",FLORES,"106",I,"181",V,,,,,,,,
DEAN FUNES,"593",Dean Funes 593,-58.406751,-34.617463,"3",BALVANERA,"101",V,,,,,,,,,,
DEAN FUNES,"1767",Dean Funes 1767,-58.404899,-34.631195,"4",PARQUE PATRICIOS,"101",V,"143",V,,,,,,,,
CAÑADA DE GOMEZ,"5085",Cañada de Gomez 5085,-58.47173,-34.687842,"8",VILLA RIACHUELO,"80",I,,,,,,,,,,
CAÑADA DE GOMEZ,"5295",Cañada de Gomez 5295,-58.469223,-34.689739,"8",VILLA RIACHUELO,"80",I,,,,,,,,,,
JOSE HERNANDEZ,"2469",JOSE HERNANDEZ 2469,-58.45414,-34.565969,"13",BELGRANO,"184",V,,,,,,,,,,
NEUQUEN,"1160",Neuquen 1160,-58.44969,-34.615855,"6",CABALLITO,"84",V,"181",V,,,,,,,,
PRES. JOSE EVARISTO URIBURU,"1675","Uriburu, J. Pte. 1675",-58.395244,-34.589721,"2",RECOLETA,"92",V,"93",I,,,,,,,,
AZCUENAGA,"1718",Azcuenaga 1718,-58.396467,-34.589226,"2",RECOLETA,"95",I,,,,,,,,,,
JUNIN,"1508",Junin 1508,-58.394817,-34.590747,"2",RECOLETA,"101",V,,,,,,,,,,
JUNIN,"1414",Junin 1414,-58.395866,-34.591641,"2",RECOLETA,"60",V,,,,,,,,,,
